APO Catalog,,,,,,20041,,,,,,,Cernis-52,,,,,,,23180,,,,,,,281159,,,,,,,23512,,,,,,,24534,,,,,,,24912,,,,,,,28482,,,,,,,37061,,,,,,,37903,,,,,,,43384,,,,,,,147084,,,,,,,147889,,,,,,,148579,,,,,,,166734,,,,,,,168625,,,,,,,175156,,,,,,,183143,,,,,,,190603,,,,,,,194279,,,,,,,Cyg-OB2-5,,,,,,,Cyg-OB2-12,,,,,,,204827,,,,,,,206267,,,,,,,223385,,,,,,
idx,Wav,FWHM,FWHM,xm2,xm2,Mea Wav,Mea FWHM,UL,Mea EW,Mea Err,xm2,Result,Mea Wav,Mea FWHM,UL,Mea EW,Mea Err,xm2,Result,Mea Wav,Mea FWHM,UL,Mea EW,Mea Err,xm2,Result,Mea Wav,Mea FWHM,UL,Mea EW,Mea Err,xm2,Result,Mea Wav,Mea FWHM,UL,Mea EW,Mea Err,xm2,Result,Mea Wav,Mea FWHM,UL,Mea EW,Mea Err,xm2,Result,Mea Wav,Mea FWHM,UL,Mea EW,Mea Err,xm2,Result,Mea Wav,Mea FWHM,UL,Mea EW,Mea Err,xm2,Result,Mea Wav,Mea FWHM,UL,Mea EW,Mea Err,xm2,Result,Mea Wav,Mea FWHM,UL,Mea EW,Mea Err,xm2,Result,Mea Wav,Mea FWHM,UL,Mea EW,Mea Err,xm2,Result,Mea Wav,Mea FWHM,UL,Mea EW,Mea Err,xm2,Result,Mea Wav,Mea FWHM,UL,Mea EW,Mea Err,xm2,Result,Mea Wav,Mea FWHM,UL,Mea EW,Mea Err,xm2,Result,Mea Wav,Mea FWHM,UL,Mea EW,Mea Err,xm2,Result,Mea Wav,Mea FWHM,UL,Mea EW,Mea Err,xm2,Result,Mea Wav,Mea FWHM,UL,Mea EW,Mea Err,xm2,Result,Mea Wav,Mea FWHM,UL,Mea EW,Mea Err,xm2,Result,Mea Wav,Mea FWHM,UL,Mea EW,Mea Err,xm2,Result,Mea Wav,Mea FWHM,UL,Mea EW,Mea Err,xm2,Result,Mea Wav,Mea FWHM,UL,Mea EW,Mea Err,xm2,Result,Mea Wav,Mea FWHM,UL,Mea EW,Mea Err,xm2,Result,Mea Wav,Mea FWHM,UL,Mea EW,Mea Err,xm2,Result,Mea Wav,Mea FWHM,UL,Mea EW,Mea Err,xm2,Result,Mea Wav,Mea FWHM,UL,Mea EW,Mea Err,xm2,Result
,A,km/s,A,km/s,A,A,A,,mA,mA,A,,A,A,,mA,mA,A,,A,A,,mA,mA,A,,A,A,,mA,mA,A,,A,A,,mA,mA,A,,A,A,,mA,mA,A,,A,A,,mA,mA,A,,A,A,,mA,mA,A,,A,A,,mA,mA,A,,A,A,,mA,mA,A,,A,A,,mA,mA,A,,A,A,,mA,mA,A,,A,A,,mA,mA,A,,A,A,,mA,mA,A,,A,A,,mA,mA,A,,A,A,,mA,mA,A,,A,A,,mA,mA,A,,A,A,,mA,mA,A,,A,A,,mA,mA,A,,A,A,,mA,mA,A,,A,A,,mA,mA,A,,A,A,,mA,mA,A,,A,A,,mA,mA,A,,A,A,,mA,mA,A,,A,A,,mA,mA,A,
1,4259.00 ,83.74 ,1.19 ,31.31 ,0.44 ,,,,,,,R,,,,,,,R,4259.3,0.59,,4.4,0.6,0.39,D,4259.15,1.69,,8.5,0.9,0.53,D,4259.15,1.76,,14.5,0.8,0.59,D,4258.77,1.94,,17.1,1.3,0.67,D,4259.22,1.04,,2.3,0.5,0.37,D,,,,,,,R,4258.81,1.29,,3,0.9,0.4,D,4258.84,1.11,,1.9,0.6,0.32,D,,,1,7.2,,,L,,,,,,,R,,,1,7.2,,,L,,,1,7.2,,,L,4259.01,1.17,,7,1.7,0.45,D,,,1,17.9,,,L,,,,,,,R,,,,,,,R,4258.98,1.89,,6.1,1.2,0.59,D,4259.1,0.42,,5.6,1.8,0.18,D,4258.97,1.01,,22.2,3,0.69,D,,,,,,,R,4258.96,1.13,1,20.8,1.5,0.46,C,4259.12,1.03,,5,0.8,0.39,D,,,,,,,R
2,4363.83 ,41.19 ,0.60 ,13.50 ,0.20 ,,,1,1.6,,,L,4363.84,0.71,,19,3.6,0.21,D,4363.63,0.63,1,2.4,0.2,0.24,C,4363.79,0.48,,4.3,0.5,0.13,D,4363.86,0.84,,2.1,0.2,0.27,D,4363.86,0.66,,2.9,0.4,0.22,D,,,1,0.7,,,L,,,1,2.7,,,L,,,1,0.7,,,L,,,1,1.6,,,L,,,1,1.7,,,L,,,1,5.3,,,L,,,1,2.4,,,L,,,1,2.4,,,L,4363.79,0.8,,2,0.6,0.26,D,,,1,8.7,,,L,4363.78,0.39,,1.6,0.3,0.15,D,,,1,1.1,,,L,,,,,,,R,4363.9,0.77,,5.1,1,0.21,D,4363.82,0.49,,5.3,1.1,0.19,D,,,1,36,,,L,4363.83,0.44,,14.9,0.3,0.17,D,4363.8,0.47,,6.4,0.2,0.18,D,,,1,2.9,,,L
3,4371.60 ,62.31 ,0.91 ,24.84 ,0.36 ,4371.39,0.72,,5,1,0.34,D,,,,,,,R,,,,,,,R,,,1,2.6,,,L,,,,,,,R,4371.54,0.82,,5.9,1.1,0.41,D,4371.79,1.59,,2.3,0.5,0.53,D,,,1,6.3,,,L,,,1,4.4,,,L,,,,,,,R,,,,,,,R,,,,,,,R,,,1,7.8,,,L,,,1,7.8,,,L,4371.6,1.24,,6.5,1.5,0.43,D,,,,,,,R,,,,,,,R,4371.59,0.7,,10,1.1,0.3,D,,,,,,,R,,,,,,,R,,,1,9.2,,,L,,,1,59.6,,,L,,,,,,,R,4371.9,1.06,,2.9,0.7,0.33,D,,,,,,,R
4,4429.33 ,1634.62 ,24.13 ,631.92 ,9.33 ,4429.27,0.65,1,1918.8,71.4,11.35,C,,,,,,,R,4432.72,12.49,1,432.5,26.5,5.06,C,4427.82,22.08,,1148.5,24.8,8.32,D,,,1,322.3,,,L,,,,,,,R,4430.52,18.81,,632.9,29.7,8.5,D,,,1,154.8,,,L,4425.34,25.4,,804.1,28.7,8.81,D,4427.66,24.33,,800.8,33.1,8.62,D,4430.17,32.49,,2179.6,54.5,10.14,D,4428.39,29.56,1,2378,99.9,10.67,C,,,1,275,,,L,,,1,275,,,L,4429.53,16.97,1,2458.4,37.6,8.56,C,4430.23,21.35,,3083.4,99.9,7.38,D,4431.38,20.93,1,459.6,41,12.34,C,4430.64,21.78,,3462.5,99.9,10.1,D,4428.58,32.79,1,2579.4,39.6,11.96,C,4429,33.4,1,2859.2,57.9,9.8,C,4427.29,21.89,,3698.7,99.9,11.26,D,4429.7,21.4,,2061.5,99.9,6.77,D,4429.95,23.84,1,1421.1,95.4,11.61,C,4429.83,29.63,,912.4,25.6,9.95,D,4429.39,27.78,1,3122.8,79.6,12.27,C
5,4494.53 ,142.17 ,2.13 ,49.58 ,0.74 ,,,,,,,R,,,,,,,R,,,1,2.6,,,L,,,1,4.9,,,L,,,,,,,R,,,1,5.9,,,L,,,1,14.2,,,L,,,,,,,R,,,1,3.7,,,L,,,1,4.8,,,L,4494.76,3.03,,12.8,1.7,0.87,D,,,,,,,R,,,1,9.1,,,L,,,1,9.1,,,L,4494.66,1.52,,11.5,2.7,0.5,D,,,1,20.5,,,L,4494.62,0.73,,4.1,1.2,0.62,D,4494.41,2.47,1,23.4,1.3,0.78,C,4494.47,2.05,,10.6,1.9,0.71,D,4493.94,2.54,,21.8,3.2,0.94,D,4494.17,2.38,,27.4,5.8,0.77,D,,,1,76.7,,,L,4495.1,2.66,,7.8,1.5,0.79,D,,,1,2.4,,,L,,,,,,,R
6,4501.51 ,168.92 ,2.53 ,60.60 ,0.91 ,,,,,,,R,,,,,,,R,4501.44,2.5,,20,1.3,0.91,D,4501.78,2.27,,53.3,1.5,1.01,D,,,,,,,R,4501.49,2.3,,21.8,2,0.83,D,4501.18,2.49,,28.1,1.3,0.8,D,,,,,,,R,4501.47,2.63,,13.2,1.9,0.87,D,4501.48,2.37,,12.4,1.8,0.78,D,4501.64,2.44,,87.8,2.1,0.94,D,,,,,,,R,4501.41,1.49,,52.2,3,0.87,D,4501.41,1.49,,52.2,3,0.87,D,4501.29,2.41,,97.4,4.6,0.79,D,4501.45,3.16,,117.1,9.6,0.92,D,4501.42,3.66,,35,2.3,1.21,D,4501.68,2.62,1,180.4,1.8,1.02,C,4501.63,2.81,,81.6,1.5,1.02,D,4501.53,2.56,,117.8,3.4,0.96,D,4501.41,2.33,,103.2,5.3,0.84,D,,,1,75.5,,,L,4501.56,2.33,,49.4,2.1,0.86,D,4501.64,2.6,,65.5,0.9,0.96,D,,,,,,,R
7,4504.45 ,54.95 ,0.83 ,23.51 ,0.35 ,4504.43,1.05,,8.2,0.6,0.32,D,,,1,9.9,,,L,,,1,3.2,,,L,4504.79,1.19,,6.3,0.6,0.39,D,,,1,0.6,,,L,4504.45,0.78,,4.1,1.1,0.26,D,,,1,1.5,,,L,4504.61,0.72,,6.4,1.1,0.38,D,,,1,1.4,,,L,,,1,1.2,,,L,4504.3,0.75,,16.5,2.1,0.43,D,,,1,10.5,,,L,,,1,3.1,,,L,,,1,3.1,,,L,,,,,,,R,,,1,7.5,,,L,,,1,2.4,,,L,4504.52,0.99,,24.1,0.8,0.41,D,4504.34,0.79,,5.8,0.4,0.27,D,4504.48,0,,12.2,2.2,0.46,D,4504.44,1.46,,13.2,2.1,0.46,D,,,,,,,R,4504.42,1.27,,7.3,0.4,0.36,D,4504.12,1.18,,7.7,0.4,0.39,D,,,1,4.1,,,L
8,4659.86 ,35.19 ,0.55 ,13.16 ,0.20 ,,,1,2,,,L,,,1,5.7,,,L,,,,,,,R,,,1,2,,,L,,,1,1,,,L,4659.84,0.46,,1.7,0.5,0.19,D,,,1,0.9,,,L,4659.98,0.67,,2.7,0.8,0.22,D,,,1,0.9,,,L,,,1,1,,,L,,,1,1.4,,,L,,,1,6.1,,,L,,,1,2,,,L,,,1,2,,,L,4659.85,0.5,,2.1,0.4,0.22,D,,,1,5.1,,,L,4659.82,0.55,,2.8,0.2,0.19,D,4659.83,0.55,,1.1,0.2,0.21,D,4659.8,0.57,,2.6,0.3,0.26,D,,,,,,,R,4659.92,0.57,,5.6,1,0.24,D,,,1,11.2,,,L,4659.86,0.47,,6.1,0.3,0.18,D,4659.89,0.49,,1.8,0.2,0.16,D,,,,,,,R
9,4668.66 ,38.82 ,0.60 ,18.85 ,0.29 ,4668.43,0.57,,3.5,0.4,0.24,D,,,,,,,R,4668.63,0.62,,4.2,0.4,0.25,D,4668.52,0.58,,7.4,0.5,0.24,D,,,,,,,R,4668.76,1.08,,4.2,0.4,0.3,D,4668.75,0.15,,2.9,0.3,0.33,D,,,1,3,,,L,,,1,1.1,,,L,4668.74,0.76,,4.3,0.6,0.43,D,,,1,2.7,,,L,,,,,,,R,,,1,5,,,L,,,1,5,,,L,4668.59,0.41,,3.1,0.7,0.24,D,,,1,7.2,,,L,4668.63,0.34,,9.3,0.4,0.25,D,4668.83,0.88,,2.8,0.7,0.27,D,,,,,,,R,4668.78,0.15,,15.9,1,0.35,D,4668.57,1.06,,16.6,1.4,0.31,D,,,1,20.5,,,L,4668.68,0.51,1,10.3,0.4,0.25,C,4668.73,0.65,,4,0.3,0.31,D,,,,,,,R
